nom_commune,numero_disposition,valeur_fonciere,adresse_numero,code_postal,code_commune,code_departement,ancien_code_commune,ancien_nom_commune,ancien_id_parcelle,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,surface_reelle_bati,nombre_pieces_principales,surface_terrain,longitude,latitude
Ablon-sur-Seine,1.0,12250.0,14.5,94480.0,94001.0,94.0,,,,125.5,7.76,1130.0,,,,,,,,1.0,3.0,,0.0,,2.418616,48.721858
Alfortville,1.0,15000.0,28.0,94140.0,94002.0,94.0,,,,69.0,65.59,146.0,,,,,,,,1.0,3.0,,0.0,,2.419296,48.806884
Arcueil,1.0,19000.0,33.0,94110.0,94003.0,94.0,,,,254.0,,308.0,,,,,,,,1.0,3.0,,0.0,,2.332751,48.808453
Boissy-Saint-Léger,1.0,11000.0,6.0,94470.0,94004.0,94.0,,,,169.0,7.0,,,,,,,,,1.0,3.0,,0.0,,2.507612,48.75283
Bonneuil-sur-Marne,1.0,5000.0,72.0,94380.0,94011.0,94.0,,,,39.0,,,,,,,,,,1.0,3.0,,0.0,,2.475959,48.770607
Bry-sur-Marne,1.0,13000.0,62.0,94360.0,94015.0,94.0,,,,178.0,,,,,,,,,,1.0,3.0,,0.0,,2.5252255,48.8360575
Cachan,1.0,12000.0,40.0,94230.0,94016.0,94.0,,,,161.5,,,,,,,,,,1.0,3.0,,0.0,,2.333353,48.7915925
Champigny-sur-Marne,1.0,15000.0,83.5,94500.0,94017.0,94.0,,,,97.0,5.0,,,,,,,,,1.0,3.0,,0.0,17.0,2.500908,48.8143465
Charenton-le-Pont,1.0,18500.0,17.5,94220.0,94018.0,94.0,,,,175.0,6.29,,,,,,,,,1.0,3.0,,0.0,,2.41011,48.823487
Chennevières-sur-Marne,1.0,13000.0,9.0,94430.0,94019.0,94.0,,,,126.0,,,,,,,,,,1.0,3.0,,0.0,,2.528363,48.79541
Chevilly-Larue,1.0,12750.0,39.0,94550.0,94021.0,94.0,,,,316.5,,,,,,,,,,1.0,3.0,,0.0,,2.363022,48.770656
Choisy-le-Roi,1.0,14250.0,31.0,94600.0,94022.0,94.0,,,,176.5,12.0,,,,,,,,,1.0,3.0,,0.0,,2.411988,48.763732
Créteil,1.0,13000.0,36.0,94000.0,94028.0,94.0,,,,259.0,9.0,1159.0,,1160.0,,,,,,1.0,3.0,,0.0,,2.454394,48.786506
Fontenay-sous-Bois,1.0,15000.0,21.0,94120.0,94033.0,94.0,,,,117.0,,12.0,,13.0,,15.0,,,,1.0,3.0,,0.0,,2.468247,48.850197
Fresnes,1.0,16000.0,9001.0,94260.0,94034.0,94.0,,,,1203.0,9.0,,,,,,,,,1.0,3.0,,0.0,,2.324667,48.756899
Gentilly,1.0,16450.0,23.0,94250.0,94037.0,94.0,,,,88.0,,,,,,,,,,1.0,3.0,,0.0,,2.350006,48.813759
Ivry-sur-Seine,1.0,15000.0,36.0,94200.0,94041.0,94.0,,,,100.5,8.0,,,,,,,,,1.0,3.0,,0.0,,2.380532,48.812273000000005
Joinville-le-Pont,1.0,18000.0,6.0,94340.0,94042.0,94.0,,,,414.0,,,,,,,,,,1.0,3.0,,0.0,,2.466181,48.818753
L'Haÿ-les-Roses,1.0,14000.0,7.0,94240.0,94038.0,94.0,,,,213.0,,,,,,,,,,1.0,3.0,,0.0,,2.334266,48.774921
La Queue-en-Brie,1.0,8250.0,6.0,94510.0,94060.0,94.0,,,,225.5,,,,,,,,,,1.0,3.0,,0.0,,2.5821880000000004,48.786151000000004
